Date,Trend,ScannerName,ScannerCode,Category,MC_nsCode,MC_StkId,MC_StkName,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,IndicatorFile,MatchType
08-Apr-2026,Bearish,,,,,,UCO Bank,25.92,UCOBANK,EQ,24.33,25.25,26.05,25.2,25.92,25.68,14235438,3655.36,25168, 6320402, 44.40,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Blue Dart,5036.0,BLUEDART,EQ,4909.1,5102.0,5120.0,4981.1,5036.0,5037.85,17181,865.55,5234, 7480, 43.54,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Authum Invest,441.4,AIIL,EQ,412.25,434.0,444.8,423.3,441.4,436.6,566681,2474.1,18535, 201415, 35.54,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Asahi India,854.65,ASAHIINDIA,EQ,805.4,838.0,860.8,827.75,854.65,850.09,124887,1061.66,10160, 39320, 31.48,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Gillette India,7684.5,GILLETTE,EQ,7506.5,7798.0,7798.0,7642.5,7684.5,7693.15,28760,2212.55,9222, 14445, 50.23,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Mahanagar Gas,1008.55,MGL,EQ,955.0,993.0,1015.0,976.0,1008.55,998.26,746235,7449.39,31200, 320184, 42.91,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,UNO Minda,1090.2,UNOMINDA,EQ,1021.4,1060.0,1100.5,1050.0,1090.2,1088.68,1391634,15150.41,54062, 785768, 56.46,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,UTI,964.85,UTIAMC,EQ,931.7,949.0,980.0,948.0,964.85,965.13,864798,8346.44,26930, 672093, 77.72,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,3M India,31595.0,3MINDIA,EQ,29260.0,29850.0,31725.0,29845.0,31595.0,30841.72,16254,5013.01,5984, 9001, 55.38,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,PG Electroplast,482.35,PGEL,EQ,440.65,471.1,493.0,462.3,482.35,475.01,8706149,41354.82,92665, 2449902, 28.14,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Gravita India,1497.9,GRAVITA,EQ,1394.5,1463.9,1506.0,1427.2,1497.9,1474.67,368086,5428.04,25810, 176657, 47.99,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,United Brewerie,1496.5,UBL,EQ,1467.1,1493.9,1518.4,1480.1,1496.5,1500.98,214866,3225.09,9675, 153613, 71.49,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Bharti Hexacom,1535.5,BHARTIHEXA,EQ,1522.5,1564.7,1585.9,1529.1,1535.5,1543.81,333129,5142.88,14242, 257744, 77.37,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Balkrishna Ind,2222.7,BALKRISIND,EQ,2127.4,2210.0,2245.0,2190.1,2222.7,2220.23,323695,7186.76,27546, 232536, 71.84,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Global Health,1058.75,MEDANTA,EQ,1033.35,1052.0,1067.0,1045.4,1058.75,1055.27,149735,1580.11,9075, 75269, 50.27,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,LIC India,793.7,LICI,EQ,743.2,780.0,803.6,773.5,793.7,789.79,4526133,35746.94,135790, 1923979, 42.51,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Caplin Labs,1660.3,CAPLIPOINT,EQ,1610.5,1674.8,1674.8,1623.5,1660.3,1650.63,170696,2817.56,18022, 108186, 63.38,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,JB Chemicals,1942.5,JBCHEPHARM,EQ,1961.9,1985.0,1994.3,1937.7,1942.5,1948.5,578001,11262.35,25990, 397512, 68.77,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,GlaxoSmithKline,2354.3,GLAXO,EQ,2333.4,2377.0,2396.9,2348.0,2354.3,2368.56,56548,1339.37,9037, 35347, 62.51,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Abbott India,25850.0,ABBOTINDIA,EQ,25665.0,26095.0,26235.0,25795.0,25850.0,25918.98,9402,2436.9,4618, 5581, 59.36,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Indiamart Inter,2095.2,INDIAMART,EQ,2053.5,2112.0,2130.2,2082.1,2095.2,2103.08,125241,2633.92,19619, 68659, 54.82,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,SJVN,70.55,SJVN,EQ,67.53,69.94,70.75,69.11,70.55,70.0,6361101,4453.07,27563, 2535736, 39.86,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Central Bank,35.39,CENTRALBK,EQ,33.82,35.0,35.64,34.85,35.39,35.29,9252300,3265.32,24967, 4303058, 46.51,bearish.csv,PriceFallback(±0.00)
